# x y1 y2 y3
0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
1.000000e-02 0.000000e+00 0.000000e+00 0.000000e+00
2.000000e-02 0.000000e+00 0.000000e+00 0.000000e+00
3.000000e-02 0.000000e+00 0.000000e+00 0.000000e+00
4.000000e-02 0.000000e+00 0.000000e+00 0.000000e+00
5.000000e-02 8.999770e-06 0.000000e+00 0.000000e+00
6.000000e-02 1.999944e-05 0.000000e+00 0.000000e+00
7.000000e-02 4.699723e-05 0.000000e+00 0.000000e+00
8.000000e-02 7.799342e-05 0.000000e+00 0.000000e+00
9.000000e-02 1.309823e-04 0.000000e+00 0.000000e+00
1.000000e-01 1.849636e-04 0.000000e+00 0.000000e+00
1.100000e-01 2.889136e-04 0.000000e+00 0.000000e+00
1.200000e-01 4.787666e-04 0.000000e+00 0.000000e+00
1.300000e-01 7.554190e-04 0.000000e+00 0.000000e+00
1.400000e-01 9.610642e-04 0.000000e+00 0.000000e+00
1.500000e-01 1.383063e-03 0.000000e+00 0.000000e+00
1.600000e-01 1.829599e-03 0.000000e+00 0.000000e+00
1.700000e-01 2.401172e-03 0.000000e+00 0.000000e+00
1.800000e-01 2.994971e-03 0.000000e+00 0.000000e+00
1.900000e-01 3.790532e-03 0.000000e+00 0.000000e+00
2.000000e-01 4.982953e-03 0.000000e+00 0.000000e+00
2.100000e-01 5.945377e-03 0.000000e+00 0.000000e+00
2.200000e-01 7.259617e-03 0.000000e+00 0.000000e+00
2.300000e-01 8.726115e-03 0.000000e+00 0.000000e+00
2.400000e-01 1.068348e-02 0.000000e+00 0.000000e+00
2.500000e-01 1.229087e-02 0.000000e+00 0.000000e+00
2.600000e-01 1.473726e-02 0.000000e+00 0.000000e+00
2.700000e-01 1.667207e-02 0.000000e+00 0.000000e+00
2.800000e-01 1.991284e-02 0.000000e+00 0.000000e+00
2.900000e-01 2.245206e-02 0.000000e+00 0.000000e+00
3.000000e-01 2.580879e-02 0.000000e+00 0.000000e+00
3.100000e-01 2.924841e-02 0.000000e+00 0.000000e+00
