# x y1 y2 y3
1.000000e-03 1.001580e-05 1.003653e-05
1.300000e-03 1.002889e-05 1.003812e-05
1.690000e-03 1.001324e-05 1.001627e-05
2.197000e-03 1.004154e-05 1.003981e-05
2.856100e-03 1.004236e-05 1.005078e-05
3.712930e-03 1.006615e-05 1.007467e-05
4.826809e-03 1.010814e-05 1.009833e-05
6.274852e-03 1.013892e-05 1.011768e-05
8.157307e-03 1.014281e-05 1.016526e-05
1.060450e-02 1.020964e-05 1.020480e-05
1.378585e-02 1.025524e-05 1.026233e-05
1.792160e-02 1.033863e-05 1.035480e-05
2.329809e-02 1.048528e-05 1.047590e-05
3.028751e-02 1.060336e-05 1.059204e-05
3.937376e-02 1.080238e-05 1.081787e-05
5.118589e-02 1.106945e-05 1.107633e-05
6.654166e-02 1.142468e-05 1.143822e-05
8.650416e-02 1.197344e-05 1.192967e-05
1.124554e-01 1.265199e-05 1.268218e-05
1.461920e-01 1.369257e-05 1.376312e-05
1.900496e-01 1.513866e-05 1.537447e-05
2.470645e-01 1.719210e-05 1.811550e-05
3.211839e-01 2.011524e-05 2.288570e-05
4.175391e-01 2.358304e-05 3.255594e-05
5.428008e-01 2.735800e-05 5.423449e-05
7.056410e-01 3.104321e-05 1.104595e-04
9.173333e-01 3.394490e-05 2.261441e-04
